lat,lon,dataset
17.25,-136.5,era
17.25,-135.75,era
17.25,-135,era
17.25,-134.25,era
17.25,-133.5,era
17.25,-132.75,era
17.25,-132,era
17.25,-131.25,era
17.25,-130.5,era
17.25,-129.75,era
17.25,-129,era
17.25,-128.25,era
17.25,-127.5,era
17.25,-126.75,era
17.25,-126,era
17.25,-125.25,era
17.25,-124.5,era
17.25,-123.75,era
17.25,-123,era
17.25,-122.25,era
17.25,-121.5,era
17.25,-120.75,era
17.25,-120,era
17.25,-119.25,era
17.25,-118.5,era
17.25,-117.75,era
17.25,-117,era
17.25,-116.25,era
17.25,-115.5,era
17.25,-114.75,era
17.25,-114,era
17.25,-113.25,era
17.25,-112.5,era
17.25,-111.75,era
17.25,-111,era
17.25,-110.25,era
17.25,-109.5,era
17.25,-108.75,era
17.25,-108,era
17.25,-107.25,era
17.25,-106.5,era
17.25,-105.75,era
17.25,-105,era
17.25,-104.25,era
17.25,-103.5,era
17.25,-102.75,era
17.25,-102,era
17.25,-101.25,era
17.25,-100.5,era
17.25,-99.75,era
17.25,-99,era
17.25,-98.25,era
17.25,-97.5,era
17.25,-96.75,era
17.25,-96,era
17.25,-95.25,era
17.25,-94.5,era
17.25,-93.75,era
17.25,-93,era
17.25,-92.25,era
17.25,-91.5,era
17.25,-90.75,era
17.25,-90,era
17.25,-89.25,era
17.25,-88.5,era
17.25,-87.75,era
17.25,-87,era
17.25,-86.25,era
17.25,-85.5,era
17.25,-84.75,era
17.25,-84,era
17.25,-83.25,era
17.25,-82.5,era
17.25,-81.75,era
17.25,-81,era
17.25,-80.25,era
17.25,-79.5,era
17.25,-78.75,era
17.25,-78,era
17.25,-77.25,era
17.25,-76.5,era
17.25,-75.75,era
17.25,-75,era
17.25,-74.25,era
17.25,-73.5,era
17.25,-72.75,era
17.25,-72,era
17.25,-71.25,era
17.25,-70.5,era
17.25,-69.75,era
17.25,-69,era
17.25,-68.25,era
17.25,-67.5,era
17.25,-66.75,era
17.25,-66,era
17.25,-65.25,era
17.25,-64.5,era
17.25,-63.75,era
17.25,-63,era
17.25,-62.25,era
17.25,-61.5,era
17.25,-60.75,era
17.25,-60,era
17.25,-59.25,era
17.25,-58.5,era
18,-136.5,era
18,-135.75,era
18,-135,era
18,-134.25,era
18,-133.5,era
18,-132.75,era
18,-132,era
18,-131.25,era
18,-130.5,era
18,-129.75,era
18,-129,era
18,-128.25,era
18,-127.5,era
18,-126.75,era
18,-126,era
18,-125.25,era
18,-124.5,era
18,-123.75,era
18,-123,era
18,-122.25,era
18,-121.5,era
18,-120.75,era
18,-120,era
18,-119.25,era
18,-118.5,era
18,-117.75,era
18,-117,era
18,-116.25,era
18,-115.5,era
18,-114.75,era
18,-114,era
18,-113.25,era
18,-112.5,era
18,-111.75,era
18,-111,era
18,-110.25,era
18,-109.5,era
18,-108.75,era
18,-108,era
18,-107.25,era
18,-106.5,era
18,-105.75,era
18,-105,era
18,-104.25,era
18,-103.5,era
18,-102.75,era
18,-102,era
18,-101.25,era
18,-100.5,era
18,-99.75,era
18,-99,era
